Model,Algorithm,Merge,IoU,MSE,Params
skull,DEPTH_MAPPING,,0.8135,0.155239,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 4}"
skull,HYBRID_DEPTH,MAJORITY_VOTE,0.9062,0.074358,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.375), 'depth_factor': 1.0, 'minimum_region_size': 1, 'hollow_grid': True}"
skull,HYBRID_DEPTH,NEAREST_PROJ,0.9062,0.066051,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.375), 'depth_factor': 1.0, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
smallguy,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.9167,0.133291,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
smallguy,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.9167,0.146120,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
smallguy,SPATIAL_CARVE,MAJORITY_VOTE,0.9167,0.133291,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
smallguy,SPATIAL_CARVE,NEAREST_PROJ,0.9167,0.130752,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
smallguy,DEPTH_MAPPING,,0.6993,0.174258,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 2}"
smallguy,HYBRID_DEPTH,MAJORITY_VOTE,0.9167,0.133291,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.5, 'minimum_region_size': 2, 'hollow_grid': True}"
smallguy,HYBRID_DEPTH,NEAREST_PROJ,0.9167,0.146120,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
